query,startup,networking,reasoning
q1.n3,29,501,46
q10.n3,22,499,56
q11.n3,23,497,82
q12.n3,23,511,72
q13.n3,24,529,42
q14.n3,24,524,40
q15.n3,23,535,20
q16.n3,23,494,49
q17.n3,23,505,27
q18.n3,23,501,13
q19.n3,23,494,19
q2.n3,23,494,2734
q20.n3,23,533,71
q21.n3,24,498,92
q22.n3,23,495,1447
q23.n3,23,506,7388
q24.n3,24,551,4955
q25.n3,23,512,77
q3.n3,23,505,1413
q4.n3,24,526,39
q5.n3,23,517,3287
q6.n3,24,507,6176
q7.n3,24,529,76
q8.n3,24,521,70
q9.n3,24,500,81
